date,count,uniques
2026-06-30,83,12
2026-07-01,5,3
2026-07-02,15,10
2026-07-03,8,5
2026-07-04,5,4
2026-07-05,15,6
2026-07-06,27,5
2026-07-07,266,21
2026-07-08,94,13
2026-07-09,111,12
2026-07-10,51,14
2026-07-11,95,16
2026-07-12,28,7
2026-07-13,3,2
2026-07-14,82,23
2026-07-15,87,40
2026-07-16,118,35
2026-07-17,103,36
2026-07-18,4,3
2026-07-19,21,14
2026-07-20,59,7
2026-07-21,31,4
2026-07-22,11,3
2026-07-23,4,3
2026-07-24,31,20
2026-07-25,44,19
2026-07-26,151,68
2026-07-27,40,25
2026-07-28,28,23
2026-07-29,36,19
2026-07-30,40,21
2026-07-31,34,20
2026-08-01,5,3
2026-08-02,18,13
2026-08-03,12,4
2026-08-04,18,7
2026-08-05,20,14
2026-08-06,16,7
2026-08-07,25,14
2026-08-08,9,5
2026-08-09,4,3
2026-08-10,20,8
2026-08-11,11,5
2026-08-12,10,7
2026-08-13,67,20
2026-08-14,16,11
2026-08-15,10,7
2026-08-16,22,5
2026-08-17,21,14
2026-08-18,13,8
2026-08-19,60,16
2026-08-20,101,19
2026-08-21,77,17
2026-08-22,58,14
2026-08-23,63,24
2026-08-24,66,37
2026-08-25,42,25
2026-08-26,13,9
2026-08-27,31,22
2026-08-28,37,25
2026-08-29,10,10
2026-08-30,17,12
2026-08-31,56,32
2026-09-01,33,19
2026-09-02,23,9
2026-09-03,55,21
2026-09-04,103,28
