snapshot_date,stars,forks,watchers,subscribers,open_issues,size_kb
"2026-08-19",10,5,10,0,3,52398
"2026-08-20",10,5,10,0,3,60451
"2026-08-21",10,6,10,0,3,49436
"2026-08-22",10,7,10,0,1,50182
"2026-08-23",10,7,10,0,1,58070
"2026-08-24",10,7,10,0,1,57461
"2026-08-25",10,7,10,0,1,59808
"2026-08-26",10,7,10,0,1,61203
"2026-08-27",11,7,11,0,1,66599
"2026-08-28",12,7,12,0,2,69200
"2026-08-29",12,7,12,0,2,70055
"2026-08-30",12,7,12,0,2,78082
"2026-08-31",12,7,12,0,2,78156
"2026-09-01",12,8,12,0,2,78158
"2026-09-02",12,8,12,0,3,78410
"2026-09-03",12,8,12,0,3,79316
"2026-09-04",13,8,13,0,3,81943
"2026-09-05",13,8,13,0,4,81944
"2026-09-06",13,8,13,0,4,81946
"2026-09-07",13,8,13,0,4,81948
"2026-09-08",13,8,13,0,4,102007
"2026-09-09",13,8,13,0,4,105037
"2026-09-10",14,8,14,0,4,110021
"2026-09-11",17,8,17,0,4,111310
"2026-09-13",19,8,19,0,4,112849
"2026-09-14",20,8,20,0,2,114814
"2026-09-15",20,8,20,0,2,114815
"2026-09-16",20,8,20,0,2,114904
"2026-09-17",21,8,21,0,2,115004
"2026-09-18",21,8,21,0,2,115040
"2026-09-19",21,8,21,0,2,115043
"2026-09-20",21,8,21,0,2,115045
"2026-09-21",24,8,24,0,2,115047
"2026-09-22",25,10,25,0,2,115049
"2026-09-24",28,10,28,0,2,112244
