date,count,uniques
2026-06-30,22,3
2026-07-01,24,6
2026-07-02,63,19
2026-07-03,16,12
2026-07-04,4,3
2026-07-05,7,6
2026-07-06,39,10
2026-07-07,17,8
2026-07-08,13,8
2026-07-09,12,8
2026-07-10,18,9
2026-07-11,0,0
2026-07-12,12,5
2026-07-13,16,4
2026-07-14,52,7
2026-07-15,46,13
2026-07-16,38,12
2026-07-17,20,14
2026-07-18,11,11
2026-07-19,4,3
2026-07-20,14,7
2026-07-21,15,9
2026-07-22,21,14
2026-07-23,21,11
2026-07-24,9,6
2026-07-25,15,2
2026-07-26,3,3
2026-07-27,3,2
2026-07-28,13,7
2026-07-29,15,10
2026-07-30,86,15
2026-07-31,21,14
2026-08-01,21,2
2026-08-02,3,2
2026-08-03,10,5
2026-08-04,48,10
2026-08-05,50,23
2026-08-06,45,17
2026-08-07,42,14
2026-08-08,36,2
2026-08-09,9,6
2026-08-10,52,19
2026-08-11,11,9
2026-08-12,30,21
2026-08-13,35,12
2026-08-14,20,13
2026-08-15,5,5
2026-08-16,23,6
2026-08-17,5,5
2026-08-18,11,11
2026-08-19,27,14
2026-08-20,104,25
2026-08-21,48,18
2026-08-22,8,7
2026-08-23,4,3
2026-08-24,43,19
2026-08-25,110,77
2026-08-26,27,19
2026-08-27,34,16
2026-08-28,75,37
2026-08-29,3,1
2026-08-30,16,9
2026-08-31,41,22
2026-09-01,52,18
2026-09-02,25,15
2026-09-03,31,19
2026-09-04,38,11
